SUBJECT,TIME,MARKET_SHARE_PCT,UNIT_PRODUCTION_COST,REGION
Competitor020,1,112.726,148.624,APAC
Competitor021,1,63.524,119.289,AMER
Competitor022,1,71.072,71.9,EMEA
Competitor023,1,100.724,116.131,APAC
Competitor024,1,97.754,109.74,AMER
Competitor025,1,61.098,93.754,EMEA
Competitor026,1,84.036,93.23,APAC
Competitor027,1,91.36,128.122,AMER
Competitor028,1,126.832,149.69,EMEA
Competitor029,1,139.956,116.446,APAC
Competitor030,1,94.166,70.304,AMER
Competitor031,1,51.526,152.16,EMEA
Competitor032,1,85.719,60.657,APAC
Competitor033,1,119.036,82.554,AMER
Competitor034,1,105.774,131.072,EMEA
Competitor035,1,94.839,81.309,APAC
Competitor036,1,67.25,63.316,AMER
Competitor037,1,122.114,91.956,EMEA
Competitor038,1,109.392,75.372,APAC
Competitor039,1,102.841,98.881,AMER
Competitor040,1,139.183,99.966,EMEA
Competitor041,1,131.742,112.602,APAC
Competitor042,1,116.437,66.505,AMER
Competitor043,1,106.108,112.743,EMEA
Competitor044,1,104.855,123.091,APAC
Competitor045,1,72.682,121.181,AMER
Us,1,133.164,94.725,EMEA
Competitor001,2,62.355,110.114,EMEA
Competitor002,2,98.908,124.942,APAC
Competitor003,2,120.431,125.648,AMER
Competitor004,2,88.164,110.633,EMEA
Competitor005,2,108.209,147.006,APAC
Competitor006,2,55.827,90.65,AMER
Competitor007,2,116.264,66.741,EMEA
Competitor008,2,130.398,63.072,APAC
Competitor009,2,107.799,86.625,AMER
Competitor010,2,82.111,83.16,EMEA
Competitor011,2,82.36,53.051,APAC
Competitor012,2,138.813,135.104,AMER
Competitor013,2,139.994,73.643,EMEA
Competitor014,2,47.087,65.102,APAC
Competitor015,2,128.288,129.037,AMER
Competitor016,2,124.126,63.366,EMEA
Competitor017,2,138.254,105.251,APAC
Competitor018,2,69.465,145.953,AMER
Competitor019,2,91.704,65.614,EMEA
Competitor020,2,117.446,149.584,APAC
Competitor021,2,62.377,122.398,AMER
Competitor022,2,72.12,72.099,EMEA
Competitor023,2,100.424,115.061,APAC
Competitor024,2,93.647,109.328,AMER
Competitor025,2,62.124,91.637,EMEA
Competitor026,2,85.168,94.406,APAC
Competitor027,2,90.791,130.666,AMER
Competitor028,2,125.746,148.678,EMEA
Competitor029,2,141.387,116.64,APAC
Competitor030,2,92.2,68.185,AMER
Competitor031,2,52.499,151.839,EMEA
Competitor032,2,89.671,58.239,APAC
Competitor033,2,121.136,82.326,AMER
Competitor034,2,106.916,133.503,EMEA
Competitor035,2,91.706,81.876,APAC
Competitor036,2,68.448,64.554,AMER
Competitor037,2,119.058,89.859,EMEA
Competitor038,2,110.825,75.474,APAC
Competitor039,2,100.322,94.996,AMER
Competitor040,2,142.392,101.828,EMEA
Competitor041,2,136.282,113.335,APAC
Competitor042,2,109.667,67.878,AMER
Competitor043,2,105.167,113.819,EMEA
Competitor044,2,102.185,120.702,APAC
Competitor045,2,75.039,124.094,AMER
Us,2,131.492,96.605,EMEA
Competitor001,3,63.332,115.222,EMEA
Competitor002,3,98.013,123.887,APAC
Competitor003,3,121.277,124.979,AMER
Competitor004,3,91.47,108.189,EMEA
Competitor005,3,104.722,154.494,APAC
Competitor006,3,57.19,87.941,AMER
Competitor007,3,111.695,68.779,EMEA
Competitor008,3,136.135,63.157,APAC
Competitor009,3,106.607,83.77,AMER
Competitor010,3,80.585,82.016,EMEA
Competitor011,3,86.191,52.229,APAC
Competitor012,3,133.313,139.562,AMER
Competitor013,3,139.793,74.443,EMEA
Competitor014,3,47.064,65.54,APAC
Competitor015,3,131.644,129.132,AMER
Competitor016,3,118.691,61.755,EMEA
Competitor017,3,139.647,104.027,APAC
Competitor018,3,71.229,144.882,AMER
Competitor019,3,93.719,65.877,EMEA
Competitor020,3,119.907,150.584,APAC
Competitor021,3,61.929,122.99,AMER
Competitor022,3,72.845,73.434,EMEA
Competitor023,3,98.497,111.769,APAC
Competitor024,3,93.744,108.266,AMER
Competitor025,3,62.107,87.871,EMEA
Competitor026,3,85.228,95.981,APAC
Competitor027,3,91.899,131.929,AMER
Competitor028,3,123.525,149.25,EMEA
Competitor029,3,148.347,119.566,APAC
Competitor030,3,88.125,66.404,AMER
Competitor031,3,52.675,150.055,EMEA
Competitor032,3,94.555,57.153,APAC
Competitor033,3,121.391,84.448,AMER
Competitor034,3,105.521,129.365,EMEA
Competitor035,3,88.258,80.263,APAC
Competitor036,3,69.79,63.545,AMER
Competitor037,3,117.355,88.751,EMEA
Competitor038,3,111.609,75.296,APAC
Competitor039,3,99.17,94.442,AMER
Competitor040,3,142.516,105.372,EMEA
Competitor041,3,137.516,113.808,APAC
Competitor042,3,105.388,68.892,AMER
Competitor043,3,109.166,112.154,EMEA
Competitor044,3,101.746,119.204,APAC
Competitor045,3,73.954,124.747,AMER
Us,3,131.547,97.442,EMEA
Competitor001,4,65.909,119.29,EMEA
Competitor002,4,95.099,122.012,APAC
Competitor003,4,120.054,123.055,AMER
Competitor004,4,90.143,104.678,EMEA
Competitor005,4,97.544,158.03,APAC
Competitor006,4,57.31,86.373,AMER
Competitor007,4,111.489,67.817,EMEA
Competitor008,4,139.496,64.125,APAC
Competitor009,4,107.28,79.813,AMER
Competitor010,4,81.754,83.199,EMEA
Competitor011,4,86.405,51.396,APAC
Competitor012,4,129.142,142.558,AMER
Competitor013,4,141.748,75.387,EMEA
Competitor014,4,45.708,64.958,APAC
Competitor015,4,135.752,129.725,AMER
Competitor016,4,118.005,58.999,EMEA
Competitor017,4,135.86,100.805,APAC
Competitor018,4,71.188,139.876,AMER
Competitor019,4,93.749,65.143,EMEA
Competitor020,4,120.504,149.858,APAC
Competitor021,4,60.425,125.612,AMER
Competitor022,4,75.462,74.917,EMEA
Competitor023,4,98.918,108.607,APAC
Competitor024,4,93.757,109.041,AMER
Competitor025,4,64.209,84.878,EMEA
Competitor026,4,82.399,98.317,APAC
Competitor027,4,93.411,130.905,AMER
Competitor028,4,125.046,149.608,EMEA
Competitor029,4,158.626,123.93,APAC
Competitor030,4,88.167,65.59,AMER
Competitor031,4,54.116,150.772,EMEA
Competitor032,4,93.992,55.865,APAC
Competitor033,4,117.757,84.742,AMER
Competitor034,4,107.229,133.449,EMEA
Competitor035,4,88.555,80.775,APAC
Competitor036,4,72.204,63.725,AMER
Competitor037,4,115.872,86.083,EMEA
Competitor038,4,110.689,76.543,APAC
Competitor039,4,105.16,92.852,AMER
Competitor040,4,139.479,105.062,EMEA
Competitor041,4,142.69,112.716,APAC
Competitor042,4,99.481,68.634,AMER
Competitor043,4,109.453,111.999,EMEA
Competitor044,4,100.765,117.703,APAC
Competitor045,4,72.714,125.022,AMER
Us,4,135.365,99.18,EMEA
Competitor001,5,65.634,125.837,EMEA
Competitor002,5,93.189,120.758,APAC
Competitor003,5,123.801,122.869,AMER
Competitor004,5,87.114,101.918,EMEA
Competitor005,5,95.182,161.303,APAC
Competitor006,5,56.774,87.36,AMER
Competitor007,5,110.569,68.607,EMEA
Competitor008,5,142.348,64.627,APAC
Competitor009,5,102.858,78.199,AMER
Competitor010,5,82.674,82.777,EMEA
Competitor011,5,88.265,50.069,APAC
Competitor012,5,126.395,141.942,AMER
Competitor013,5,145.515,74.572,EMEA
Competitor014,5,47.904,65.126,APAC
Competitor015,5,140.473,129.739,AMER
Competitor016,5,114.0,56.419,EMEA
Competitor017,5,137.392,101.067,APAC
Competitor018,5,72.24,139.786,AMER
Competitor019,5,95.489,64.966,EMEA
Competitor020,5,118.941,148.326,APAC
Competitor021,5,57.589,123.849,AMER
Competitor022,5,75.612,75.049,EMEA
Competitor023,5,97.222,106.27,APAC
Competitor024,5,94.065,109.505,AMER
Competitor025,5,64.752,82.759,EMEA
Competitor026,5,79.579,98.022,APAC
Competitor027,5,94.955,130.446,AMER
Competitor028,5,125.176,148.341,EMEA
Competitor029,5,157.197,124.827,APAC
Competitor030,5,87.697,63.254,AMER
Competitor031,5,54.217,150.588,EMEA
Competitor032,5,98.81,54.488,APAC
Competitor033,5,113.266,87.424,AMER
Competitor034,5,110.94,132.77,EMEA
Competitor035,5,87.007,81.871,APAC
Competitor036,5,72.571,65.693,AMER
Competitor037,5,113.039,82.774,EMEA
Competitor038,5,106.691,75.367,APAC
Competitor039,5,104.897,90.99,AMER
Competitor040,5,133.431,106.071,EMEA
Competitor041,5,145.424,113.005,APAC
Competitor042,5,98.445,68.295,AMER
Competitor043,5,112.919,111.286,EMEA
Competitor044,5,95.061,120.029,APAC
Competitor045,5,73.613,123.439,AMER
Us,5,138.091,102.704,EMEA
Competitor001,6,67.141,130.279,EMEA
Competitor002,6,92.98,117.059,APAC
Competitor003,6,122.982,124.941,AMER
Competitor004,6,84.631,102.361,EMEA
Competitor005,6,92.8,160.158,APAC
Competitor006,6,56.173,87.565,AMER
Competitor007,6,108.868,66.899,EMEA
Competitor008,6,141.65,66.941,APAC
Competitor009,6,99.003,74.947,AMER
Competitor010,6,82.951,82.966,EMEA
Competitor011,6,91.505,48.953,APAC
Competitor012,6,125.996,147.586,AMER
Competitor013,6,145.138,72.734,EMEA
Competitor014,6,46.234,63.703,APAC
Competitor015,6,149.971,129.227,AMER
Competitor016,6,110.47,54.707,EMEA
Competitor017,6,131.39,101.096,APAC
Competitor018,6,72.276,135.026,AMER
Competitor019,6,93.459,64.968,EMEA
Competitor020,6,120.43,153.149,APAC
Competitor021,6,55.703,122.395,AMER
Competitor022,6,77.115,75.958,EMEA
Competitor023,6,97.081,104.807,APAC
Competitor024,6,97.992,106.973,AMER
Competitor025,6,65.455,79.524,EMEA
Competitor026,6,79.284,99.878,APAC
Competitor027,6,97.433,129.997,AMER
Competitor028,6,124.505,144.979,EMEA
Competitor029,6,155.608,129.168,APAC
Competitor030,6,88.623,61.511,AMER
Competitor031,6,53.869,154.337,EMEA
Competitor032,6,98.773,53.571,APAC
Competitor033,6,108.121,86.827,AMER
Competitor034,6,114.283,133.223,EMEA
Competitor035,6,86.193,81.254,APAC
Competitor036,6,70.009,65.441,AMER
Competitor037,6,109.409,80.455,EMEA
Competitor038,6,107.252,74.277,APAC
Competitor039,6,109.921,87.851,AMER
Competitor040,6,127.037,108.696,EMEA
Competitor041,6,149.952,115.336,APAC
Competitor042,6,93.046,65.241,AMER
Competitor043,6,116.126,111.077,EMEA
Competitor044,6,94.17,118.318,APAC
Competitor045,6,72.77,125.208,AMER
Us,6,141.699,102.397,EMEA
Competitor001,7,67.992,135.639,EMEA
Competitor002,7,93.214,116.259,APAC
Competitor003,7,123.33,120.658,AMER
Competitor004,7,85.419,99.656,EMEA
Competitor005,7,92.426,161.912,APAC
Competitor006,7,57.006,87.956,AMER
Competitor007,7,101.716,65.993,EMEA
Competitor008,7,146.548,68.364,APAC
Competitor009,7,93.853,73.012,AMER
Competitor010,7,81.196,82.919,EMEA
Competitor011,7,89.271,46.846,APAC
Competitor012,7,121.566,154.772,AMER
Competitor013,7,145.658,72.124,EMEA
Competitor014,7,44.463,65.188,APAC
Competitor015,7,151.346,133.084,AMER
Competitor016,7,106.609,53.519,EMEA
Competitor017,7,130.681,101.688,APAC
Competitor018,7,74.04,132.265,AMER
Competitor019,7,92.989,64.482,EMEA
Competitor020,7,124.819,155.56,APAC
Competitor021,7,56.269,120.519,AMER
Competitor022,7,76.067,77.847,EMEA
Competitor023,7,94.45,102.489,APAC
Competitor024,7,100.387,104.402,AMER
Competitor025,7,67.303,78.461,EMEA
Competitor026,7,77.928,102.419,APAC
Competitor027,7,102.608,129.811,AMER
Competitor028,7,125.443,144.902,EMEA
Competitor029,7,154.975,132.865,APAC
Competitor030,7,86.906,59.942,AMER
Competitor031,7,51.87,155.406,EMEA
Competitor032,7,98.794,53.11,APAC
Competitor033,7,109.354,88.232,AMER
Competitor034,7,120.157,134.537,EMEA
Competitor035,7,84.459,80.071,APAC
Competitor036,7,70.592,66.391,AMER
Competitor037,7,109.727,78.74,EMEA
Competitor038,7,105.486,73.221,APAC
Competitor039,7,109.995,86.217,AMER
Competitor040,7,123.365,111.082,EMEA
Competitor041,7,158.391,115.471,APAC
Competitor042,7,91.356,64.793,AMER
Competitor043,7,118.956,111.581,EMEA
Competitor044,7,93.587,117.941,APAC
Competitor045,7,72.453,125.56,AMER
Us,7,143.032,105.412,EMEA
Competitor001,8,69.067,138.932,EMEA
Competitor002,8,90.844,116.739,APAC
Competitor003,8,124.264,117.942,AMER
Competitor004,8,86.218,97.895,EMEA
Competitor005,8,92.317,165.218,APAC
Competitor006,8,58.126,90.258,AMER
Competitor007,8,98.509,67.521,EMEA
Competitor008,8,143.066,67.952,APAC
Competitor009,8,92.856,70.956,AMER
Competitor010,8,82.547,83.861,EMEA
Competitor011,8,93.189,44.126,APAC
Competitor012,8,114.282,162.436,AMER
Competitor013,8,147.206,73.057,EMEA
Competitor014,8,44.332,64.662,APAC
Competitor015,8,157.893,136.306,AMER
Competitor016,8,99.599,51.876,EMEA
Competitor017,8,133.533,99.394,APAC
Competitor018,8,75.218,134.117,AMER
Competitor019,8,90.592,65.512,EMEA
Competitor020,8,133.167,157.586,APAC
Competitor021,8,55.484,121.225,AMER
Competitor022,8,78.673,80.612,EMEA
Competitor023,8,89.391,101.742,APAC
Competitor024,8,101.925,105.144,AMER
Competitor025,8,68.131,77.837,EMEA
Competitor026,8,76.831,100.409,APAC
Competitor027,8,106.799,130.485,AMER
Competitor028,8,124.43,144.063,EMEA
Competitor029,8,156.992,135.208,APAC
Competitor030,8,85.343,59.181,AMER
Competitor031,8,50.116,156.168,EMEA
Competitor032,8,100.608,52.616,APAC
Competitor033,8,105.677,88.597,AMER
Competitor034,8,128.15,136.177,EMEA
Competitor035,8,81.275,79.5,APAC
Competitor036,8,71.382,68.018,AMER
Competitor037,8,105.638,77.295,EMEA
Competitor038,8,104.54,72.91,APAC
Competitor039,8,111.722,82.659,AMER
Competitor040,8,119.119,113.485,EMEA
Competitor041,8,162.387,112.423,APAC
Competitor042,8,92.635,63.35,AMER
Competitor043,8,123.052,110.508,EMEA
Competitor044,8,94.724,115.936,APAC
Competitor045,8,73.797,124.628,AMER
Us,8,149.333,108.204,EMEA
Competitor001,9,71.996,143.061,EMEA
Competitor002,9,91.12,112.67,APAC
Competitor003,9,122.996,116.302,AMER
Competitor004,9,86.769,95.216,EMEA
Competitor005,9,90.389,167.544,APAC
Competitor006,9,57.966,90.738,AMER
Competitor007,9,100.069,67.284,EMEA
Competitor008,9,148.43,69.563,APAC
Competitor009,9,89.733,68.997,AMER
Competitor010,9,80.632,82.828,EMEA
Competitor011,9,93.149,43.111,APAC
Competitor012,9,107.265,167.723,AMER
Competitor013,9,145.587,72.435,EMEA
Competitor014,9,45.105,66.772,APAC
Competitor015,9,162.666,140.195,AMER
Competitor016,9,94.614,51.243,EMEA
Competitor017,9,133.458,100.107,APAC
Competitor018,9,75.534,136.948,AMER
Competitor019,9,89.285,67.301,EMEA
Competitor020,9,136.174,159.057,APAC
Competitor021,9,55.128,121.6,AMER
Competitor022,9,80.203,82.087,EMEA
Competitor023,9,88.324,98.809,APAC
Competitor024,9,99.926,103.935,AMER
Competitor025,9,68.905,75.712,EMEA
Competitor026,9,77.439,101.836,APAC
Competitor027,9,107.316,135.198,AMER
Competitor028,9,131.297,139.585,EMEA
Competitor029,9,162.172,140.631,APAC
Competitor030,9,84.339,57.573,AMER
Competitor031,9,48.204,158.562,EMEA
Competitor032,9,102.286,52.01,APAC
Competitor033,9,106.897,88.607,AMER
Competitor034,9,133.609,136.912,EMEA
Competitor035,9,79.927,78.347,APAC
Competitor036,9,70.418,70.839,AMER
Competitor037,9,103.539,74.693,EMEA
Competitor038,9,105.813,71.65,APAC
Competitor039,9,115.281,81.38,AMER
Competitor040,9,114.942,119.846,EMEA
Competitor041,9,170.017,112.551,APAC
Competitor042,9,93.995,63.436,AMER
Competitor043,9,126.599,113.736,EMEA
Competitor044,9,92.202,113.944,APAC
Competitor045,9,73.069,125.358,AMER
Us,9,155.608,109.72,EMEA
Competitor001,10,74.38,145.673,EMEA
Competitor002,10,89.098,108.882,APAC
Competitor003,10,124.425,118.844,AMER
Competitor004,10,89.634,93.051,EMEA
Competitor005,10,87.23,175.099,APAC
Competitor006,10,58.756,91.478,AMER
Competitor007,10,98.08,68.159,EMEA
Competitor008,10,147.64,69.705,APAC
Competitor009,10,88.031,70.065,AMER
Competitor010,10,82.606,81.523,EMEA
Competitor011,10,95.929,42.231,APAC
Competitor012,10,102.088,172.395,AMER
Competitor013,10,146.916,71.652,EMEA
Competitor014,10,44.571,66.883,APAC
Competitor015,10,161.797,142.223,AMER
Competitor016,10,93.839,49.922,EMEA
Competitor017,10,132.001,102.941,APAC
Competitor018,10,74.943,133.592,AMER
Competitor019,10,88.267,67.015,EMEA
Competitor020,10,136.997,156.774,APAC
Competitor021,10,53.988,121.008,AMER
Competitor022,10,80.178,82.73,EMEA
Competitor023,10,88.076,94.676,APAC
Competitor024,10,98.863,104.483,AMER
Competitor025,10,70.026,73.773,EMEA
Competitor026,10,77.565,103.812,APAC
Competitor027,10,111.412,135.326,AMER
Competitor028,10,130.59,140.267,EMEA
Competitor029,10,166.535,139.823,APAC
Competitor030,10,84.565,57.657,AMER
Competitor031,10,48.5,161.45,EMEA
Competitor032,10,101.455,50.791,APAC
Competitor033,10,106.089,89.893,AMER
Competitor034,10,140.965,139.138,EMEA
Competitor035,10,79.557,78.226,APAC
Competitor036,10,71.131,71.604,AMER
Competitor037,10,101.527,74.073,EMEA
Competitor038,10,109.087,71.681,APAC
Competitor039,10,115.621,81.03,AMER
Competitor040,10,111.815,122.717,EMEA
Competitor041,10,168.784,115.787,APAC
Competitor042,10,88.834,63.456,AMER
Competitor043,10,122.987,115.216,EMEA
Competitor044,10,86.82,110.08,APAC
Competitor045,10,70.271,122.552,AMER
Us,10,159.931,109.855,EMEA
Competitor001,11,78.033,152.019,EMEA
Competitor002,11,85.464,108.853,APAC
Competitor003,11,123.37,119.34,AMER
Competitor004,11,85.625,90.837,EMEA
Competitor005,11,85.902,178.932,APAC
Competitor006,11,60.196,95.041,AMER
Competitor007,11,98.142,68.429,EMEA
Competitor008,11,151.418,70.053,APAC
Competitor009,11,88.204,69.106,AMER
Competitor010,11,87.434,81.829,EMEA
Competitor011,11,98.629,41.93,APAC
Competitor012,11,97.052,180.513,AMER
Competitor013,11,149.848,69.667,EMEA
Competitor014,11,44.495,68.059,APAC
Competitor015,11,168.51,145.855,AMER
Competitor016,11,87.307,48.122,EMEA
Competitor017,11,134.225,102.805,APAC
Competitor018,11,76.332,132.095,AMER
Competitor019,11,86.443,67.928,EMEA
Competitor020,11,136.675,159.887,APAC
Competitor021,11,52.441,119.422,AMER
Competitor022,11,84.28,83.255,EMEA
Competitor023,11,87.565,95.41,APAC
Competitor024,11,98.638,105.783,AMER
Competitor025,11,72.264,72.962,EMEA
Competitor026,11,78.577,103.931,APAC
Competitor027,11,115.58,136.414,AMER
Competitor028,11,130.002,141.916,EMEA
Competitor029,11,169.619,144.366,APAC
Competitor030,11,80.797,56.042,AMER
Competitor031,11,47.11,163.642,EMEA
Competitor032,11,105.112,49.353,APAC
Competitor033,11,104.873,89.942,AMER
Competitor034,11,146.991,140.401,EMEA
Competitor035,11,77.479,78.344,APAC
Competitor036,11,71.128,72.303,AMER
Competitor037,11,97.477,71.767,EMEA
Competitor038,11,109.288,71.585,APAC
Competitor039,11,121.541,80.987,AMER
Competitor040,11,109.274,126.608,EMEA
Competitor041,11,172.023,113.33,APAC
Competitor042,11,87.695,63.994,AMER
Competitor043,11,125.348,118.964,EMEA
Competitor044,11,83.916,106.566,APAC
Competitor045,11,68.514,119.897,AMER
Us,11,167.77,112.492,EMEA
Competitor001,12,79.536,153.699,EMEA
Competitor002,12,82.394,106.331,APAC
Competitor003,12,122.625,120.706,AMER
Competitor004,12,87.051,89.279,EMEA
Competitor005,12,82.853,186.75,APAC
Competitor006,12,61.729,94.573,AMER
Competitor007,12,94.766,68.35,EMEA
Competitor008,12,154.77,71.339,APAC
Competitor009,12,86.078,68.356,AMER
Competitor010,12,88.189,82.598,EMEA
Competitor011,12,103.058,41.859,APAC
Competitor012,12,94.513,189.973,AMER
Competitor013,12,151.285,71.471,EMEA
Competitor014,12,42.269,68.152,APAC
Competitor015,12,177.176,144.026,AMER
Competitor016,12,83.576,46.883,EMEA
Competitor017,12,136.716,102.452,APAC
Competitor018,12,75.486,131.351,AMER
Competitor019,12,83.809,67.511,EMEA
Competitor020,12,141.102,157.976,APAC
Competitor021,12,53.391,117.404,AMER
Competitor022,12,84.558,84.547,EMEA
Competitor023,12,86.789,92.455,APAC
Competitor024,12,97.072,103.844,AMER
Competitor025,12,75.804,70.79,EMEA
Competitor026,12,74.477,102.566,APAC
Competitor027,12,116.56,132.704,AMER
Competitor028,12,124.461,146.911,EMEA
Competitor029,12,173.971,151.812,APAC
Competitor030,12,80.762,54.404,AMER
Competitor031,12,48.225,167.424,EMEA
Competitor032,12,108.963,47.602,APAC
Competitor033,12,102.336,86.803,AMER
Competitor034,12,156.046,144.291,EMEA
Competitor035,12,78.038,77.983,APAC
Competitor036,12,69.728,73.651,AMER
Competitor037,12,93.202,69.264,EMEA
Competitor038,12,110.782,70.823,APAC
Competitor039,12,124.077,79.824,AMER
Competitor040,12,108.075,127.891,EMEA
Competitor041,12,177.036,113.165,APAC
Competitor042,12,84.312,65.209,AMER
Competitor043,12,129.63,119.346,EMEA
Competitor044,12,80.94,103.748,APAC
Competitor045,12,68.597,118.225,AMER
Us,12,173.778,114.177,EMEA
Competitor001,13,80.207,159.917,EMEA
Competitor002,13,77.974,106.411,APAC
Competitor003,13,126.236,118.634,AMER
Competitor004,13,90.53,88.707,EMEA
Competitor005,13,80.784,191.473,APAC
Competitor006,13,64.453,93.279,AMER
Competitor007,13,96.869,69.776,EMEA
Competitor008,13,162.185,71.787,APAC
Competitor009,13,85.506,65.541,AMER
Competitor010,13,89.332,83.041,EMEA
Competitor011,13,106.586,41.787,APAC
Competitor012,13,90.085,198.364,AMER
Competitor013,13,153.123,72.328,EMEA
Competitor014,13,41.141,68.267,APAC
Competitor015,13,178.759,147.889,AMER
Competitor016,13,80.617,46.03,EMEA
Competitor017,13,140.171,102.671,APAC
Competitor018,13,77.125,134.037,AMER
Competitor019,13,80.924,67.835,EMEA
Competitor020,13,139.135,158.756,APAC
Competitor021,13,52.365,117.566,AMER
Competitor022,13,88.396,85.006,EMEA
Competitor023,13,84.682,89.642,APAC
Competitor024,13,98.007,101.722,AMER
Competitor025,13,77.909,68.61,EMEA
Competitor026,13,73.845,104.532,APAC
Competitor027,13,121.406,131.486,AMER
Competitor028,13,122.062,145.649,EMEA
Competitor029,13,174.186,159.234,APAC
Competitor030,13,79.505,52.868,AMER
Competitor031,13,48.185,169.257,EMEA
Competitor032,13,113.771,46.235,APAC
Competitor033,13,101.84,83.252,AMER
Competitor034,13,166.1,145.608,EMEA
Competitor035,13,77.117,79.94,APAC
Competitor036,13,71.165,75.469,AMER
Competitor037,13,89.96,67.19,EMEA
Competitor038,13,107.87,71.833,APAC
Competitor039,13,127.622,76.175,AMER
Competitor040,13,103.165,127.872,EMEA
Competitor041,13,188.908,112.565,APAC
Competitor042,13,80.716,65.055,AMER
Competitor043,13,137.21,119.034,EMEA
Competitor044,13,81.038,103.168,APAC
Competitor045,13,66.111,119.183,AMER
Us,13,175.391,117.192,EMEA
Competitor001,14,81.641,164.052,EMEA
Competitor002,14,74.714,103.544,APAC
Competitor003,14,123.886,116.634,AMER
Competitor004,14,89.278,88.781,EMEA
Competitor005,14,80.363,196.245,APAC
Competitor006,14,66.943,93.718,AMER
Competitor007,14,95.952,69.557,EMEA
Competitor008,14,165.583,73.728,APAC
Competitor009,14,84.03,63.946,AMER
Competitor010,14,88.568,82.065,EMEA
Competitor011,14,103.992,40.106,APAC
Competitor012,14,86.741,200.951,AMER
Competitor013,14,155.754,73.135,EMEA
Competitor014,14,39.717,67.817,APAC
Competitor015,14,183.388,150.335,AMER
Competitor016,14,81.218,45.26,EMEA
Competitor017,14,142.49,105.544,APAC
Competitor018,14,82.193,132.206,AMER
Competitor019,14,76.64,67.768,EMEA
Competitor020,14,143.637,154.962,APAC
Competitor021,14,51.091,116.992,AMER
Competitor022,14,89.76,85.857,EMEA
Competitor023,14,81.85,87.591,APAC
Competitor024,14,98.67,104.352,AMER
Competitor025,14,80.412,68.534,EMEA
Competitor026,14,73.871,103.177,APAC
Competitor027,14,124.003,133.66,AMER
Competitor028,14,123.836,144.075,EMEA
Competitor029,14,175.962,164.511,APAC
Competitor030,14,76.616,50.467,AMER
Competitor031,14,47.881,169.991,EMEA
Competitor032,14,115.406,45.332,APAC
Competitor033,14,99.97,85.26,AMER
Competitor034,14,173.812,150.088,EMEA
Competitor035,14,75.222,79.075,APAC
Competitor036,14,70.874,76.761,AMER
Competitor037,14,86.582,66.807,EMEA
Competitor038,14,108.679,71.852,APAC
Competitor039,14,129.409,74.497,AMER
Competitor040,14,99.624,129.154,EMEA
Competitor041,14,186.905,112.512,APAC
